ticker,date,open,high,low,close
XWIN,2025-11-11,5.73,5.99,5.5,5.61
XWIN,2025-11-12,5.58,5.72,5.49,5.613
XWIN,2025-11-13,5.61,5.7,5.31,5.5
XWIN,2025-11-14,5.52,5.65,5.4,5.47
XWIN,2025-11-17,5.59,5.6,5.2,5.205
XWIN,2025-11-18,5.4,5.89,5.35,5.675
XWIN,2025-11-19,5.66,5.73,5.57,5.58
XWIN,2025-11-20,5.58,5.7,5.34,5.34
XWIN,2025-11-21,5.52,5.52,5.2621,5.37
XWIN,2025-11-24,5.42,5.58,5.32,5.57
XWIN,2025-11-25,5.46,5.5,5.2,5.45
XWIN,2025-11-26,5.45,5.54,5.365,5.46
XWIN,2025-11-28,5.51,5.58,5.46,5.53
